Mon_Year,Spices,Location,Grade,Price
May-22,GARLIC,CHENNAI,,40.63
Jun-22,GARLIC,CHENNAI,,36.66
Jul-22,GARLIC,CHENNAI,,42.5
Aug-22,GARLIC,CHENNAI,,42.5
Sep-22,GARLIC,CHENNAI,,32.5
Oct-22,GARLIC,CHENNAI,,34.37
Nov-22,GARLIC,CHENNAI,,43.75
Dec-22,GARLIC,CHENNAI,,36
Jan-23,GARLIC,CHENNAI,,38.75
Feb-23,GARLIC,CHENNAI,,51.25
Mar-23,GARLIC,CHENNAI,,67
Apr-23,GARLIC,CHENNAI,,51.87
May-23,GARLIC,CHENNAI,,54.37
Jun-23,GARLIC,CHENNAI,,66.25
Jul-23,GARLIC,CHENNAI,,105
Aug-23,GARLIC,CHENNAI,,108.75
Sep-23,GARLIC,CHENNAI,,105
Oct-23,GARLIC,CHENNAI,,106.25
Nov-23,GARLIC,CHENNAI,,105
Dec-23,GARLIC,CHENNAI,,116
Jan-21,MACE,COCHIN,,1176.92
Feb-21,MACE,COCHIN,,1183.33
Mar-21,MACE,COCHIN,,1476
Apr-21,MACE,COCHIN,,1485.29
May-21,MACE,COCHIN,,1233.33
Jun-21,MACE,COCHIN,,1053.84
Jul-21,MACE,COCHIN,,1223.71
Aug-21,MACE,COCHIN,,1152.17
Sep-21,MACE,COCHIN,,830.43
Oct-21,MACE,COCHIN,,900
Nov-21,MACE,COCHIN,,900
Dec-21,MACE,COCHIN,,900
Jan-22,MACE,COCHIN,,900
Feb-22,MACE,COCHIN,,900
Mar-22,MACE,COCHIN,,900
Apr-22,MACE,COCHIN,,900
May-22,MACE,COCHIN,,900
Jun-22,MACE,COCHIN,,900
Jul-22,MACE,COCHIN,,900
Aug-22,MACE,COCHIN,,900
Sep-22,MACE,COCHIN,,900
Oct-22,MACE,COCHIN,,900
Nov-22,MACE,COCHIN,,945.9
Dec-22,MACE,COCHIN,,1142.85
Jan-23,MACE,COCHIN,,1333.33
Feb-23,MACE,COCHIN,,1027.92
Mar-23,MACE,COCHIN,,1314.81
Apr-23,MACE,COCHIN,,1236.66
May-23,MACE,COCHIN,,1137.04
Jun-23,MACE,COCHIN,,784.61
Jul-23,MACE,COCHIN,,689.65
Aug-23,MACE,COCHIN,,850
Sep-23,MACE,COCHIN,,786.2
Oct-23,MACE,COCHIN,,600
Nov-23,MACE,COCHIN,,596.55
Dec-23,MACE,COCHIN,,667.74
Jan-21,MENTHA OIL,,,1200.9
Feb-21,MENTHA OIL,,,1174.1
Mar-21,MENTHA OIL,,,1143.6
Apr-21,MENTHA OIL,,,1162.5
May-21,MENTHA OIL,,,1175
Jun-21,MENTHA OIL,,,1120
Jul-21,MENTHA OIL,,,1178
Aug-21,MENTHA OIL,,,1154.9
Sep-21,MENTHA OIL,,,1132
Oct-21,MENTHA OIL,,,1131
Nov-21,MENTHA OIL,,,1142
Dec-21,MENTHA OIL,,,1137.9
Jan-22,MENTHA OIL,,,1109.4
Feb-22,MENTHA OIL,,,1172.8
Mar-22,MENTHA OIL,,,1195.9
Apr-22,MENTHA OIL,,,1100
May-22,MENTHA OIL,,,1072
Jun-22,MENTHA OIL,,,1048
Jul-22,MENTHA OIL,,,1017.4
Aug-22,MENTHA OIL,,,1017
Sep-22,MENTHA OIL,,,975.2
Oct-22,MENTHA OIL,,,990
Nov-22,MENTHA OIL,,,987
Dec-22,MENTHA OIL,,,951.9
Jan-23,MENTHA OIL,,,1017.4
Feb-23,MENTHA OIL,,,1046
Mar-23,MENTHA OIL,,,1042
Jan-21,MUSTARD,CHENNAI,,60.25
Feb-21,MUSTARD,CHENNAI,,60.5
Mar-21,MUSTARD,CHENNAI,,61.37
Apr-21,MUSTARD,CHENNAI,,66.2
May-21,MUSTARD,CHENNAI,,73
Jun-21,MUSTARD,CHENNAI,,77
Jul-21,MUSTARD,CHENNAI,,80.2
Aug-21,MUSTARD,CHENNAI,,86.5
Sep-21,MUSTARD,CHENNAI,,92.25
Oct-21,MUSTARD,CHENNAI,,91.4
Nov-21,MUSTARD,CHENNAI,,95.12
Dec-21,MUSTARD,CHENNAI,,96.13
Jan-22,MUSTARD,CHENNAI,,96.5
